ticket_id,fecha,descripcion,severidad,area,estado,resolucion
TK-001,2024-01-15,"El servidor de base de datos principal no responde. Todas las aplicaciones que dependen de él están fallando. Impacto total en operaciones.",Crítica,Base de Datos,Resuelto,"Se reinició el servicio de Oracle y se aplicó parche de emergencia. RCA: memoria insuficiente por query mal optimizado."
TK-002,2024-01-15,"No puedo acceder a mi correo corporativo desde la mañana. Me pide contraseña pero no la acepta.",Baja,Aplicaciones,Resuelto,"Se reseteó contraseña del usuario en Active Directory. Usuario no había actualizado contraseña expirada."
TK-003,2024-01-16,"La VPN está muy lenta desde hace 2 días. Tardo 5 minutos en conectarme y se desconecta frecuentemente.",Media,Redes,Resuelto,"Se identificó saturación en el concentrador VPN. Se balanceó carga entre nodos disponibles."
TK-004,2024-01-16,"URGENTE: Detectamos accesos no autorizados a la red desde IPs de China. Necesitamos bloquear inmediatamente.",Crítica,Seguridad,Resuelto,"Se bloquearon rangos de IP sospechosos en firewall. Se activó monitoreo adicional. Sin evidencia de exfiltración de datos."
TK-005,2024-01-17,"El sistema de nómina no calcula correctamente las horas extras. Varios empleados reportaron diferencias.",Alta,Aplicaciones,Resuelto,"Bug en el módulo de cálculo de horas extras. Se aplicó hotfix v2.3.1 y se recalcularon nóminas afectadas."
TK-006,2024-01-17,"Mi laptop no enciende desde ayer. Ya intenté cargarla toda la noche pero nada.",Baja,Infraestructura,Resuelto,"Batería dañada. Se reemplazó equipo por uno del inventario de respaldo."
TK-007,2024-01-18,"El servidor de archivos compartidos está lleno. No podemos guardar documentos nuevos.",Media,Infraestructura,Resuelto,"Se liberó espacio eliminando backups antiguos. Se programó expansión de storage para siguiente ventana."
TK-008,2024-01-18,"La aplicación de CRM se congela cuando intentamos generar reportes de más de 1000 registros.",Media,Aplicaciones,Resuelto,"Query de reportes no estaba paginado. Se optimizó consulta y se agregó paginación del lado del servidor."
TK-009,2024-01-19,"No funciona el sistema de videoconferencia. Las llamadas se cortan a los 2 minutos.",Alta,Redes,Resuelto,"Configuración de QoS incorrecta después de cambio de firewall. Se restauró configuración anterior."
TK-010,2024-01-19,"Recibí un correo sospechoso de 'soporte técnico' pidiendo mi contraseña. ¿Es legítimo?",Media,Seguridad,Resuelto,"Confirmado intento de phishing. Se bloqueó remitente y se envió alerta a toda la empresa."
TK-011,2024-01-20,"El sistema de procesamiento de pagos muestra error 500 intermitente. Algunos pagos no se procesan.",Crítica,Aplicaciones,Resuelto,"Timeout en conexión a pasarela de pagos. Se aumentó timeout y se implementó retry con backoff exponencial."
TK-012,2024-01-20,"Necesito acceso a la carpeta compartida del proyecto Atlas. Mi jefe ya aprobó.",Baja,Infraestructura,Resuelto,"Se otorgaron permisos de lectura/escritura previa validación de aprobación por correo."
TK-013,2024-01-21,"El backup de anoche falló. Recibimos alerta de que no se completó la copia de la base de datos principal.",Alta,Base de Datos,Resuelto,"Espacio insuficiente en servidor de respaldos. Se liberó espacio y se ejecutó backup manual exitoso."
TK-014,2024-01-21,"La impresora del piso 3 no imprime. Tiene trabajos en cola pero no salen.",Baja,Infraestructura,Resuelto,"Atasco de papel en bandeja 2. Se limpió y reinició cola de impresión."
TK-015,2024-01-22,"Varios usuarios reportan que el sistema de inventario está muy lento desde la actualización de ayer.",Alta,Aplicaciones,Resuelto,"Nueva versión tenía índices faltantes en BD. Se recrearon índices y performance volvió a la normalidad."
TK-016,2024-01-22,"Detectamos tráfico inusual desde un servidor interno hacia IPs externas desconocidas.",Crítica,Seguridad,Resuelto,"Servidor comprometido por vulnerabilidad no parchada. Se aisló, se hizo forensia y se reconstruyó desde imagen limpia."
TK-017,2024-01-23,"El aire acondicionado del data center marcó temperatura alta. Los servidores se están calentando.",Crítica,Infraestructura,Resuelto,"Falla en unidad CRAC principal. Se activó unidad de respaldo y se programó mantenimiento de emergencia."
TK-018,2024-01-23,"No puedo conectarme a la base de datos de desarrollo desde mi máquina local.",Baja,Base de Datos,Resuelto,"Firewall bloqueaba IP del desarrollador. Se agregó excepción para el rango de IPs de desarrollo."
TK-019,2024-01-24,"El certificado SSL del portal de clientes está por vencer en 3 días.",Alta,Seguridad,Resuelto,"Se renovó certificado SSL y se configuró renovación automática con Let's Encrypt."
TK-020,2024-01-24,"La sincronización entre el sistema de ventas y contabilidad dejó de funcionar. Hay diferencias en los números.",Alta,Aplicaciones,Resuelto,"Job de sincronización falló por cambio de credenciales. Se actualizaron credenciales y se ejecutó sincronización manual."
TK-021,2024-01-25,"El servidor web principal tiene un uso de CPU al 98%. El sitio está muy lento para todos los usuarios.",Crítica,Infraestructura,Resuelto,"Proceso zombie consumiendo CPU. Se terminó proceso y se reinició servidor de aplicaciones. Se agregó monitoreo de CPU."
TK-022,2024-01-25,"No puedo instalar el software de diseño que necesito para mi proyecto. Me pide permisos de administrador.",Baja,Infraestructura,Resuelto,"Se instaló software con credenciales de administrador previa aprobación del área de TI."
TK-023,2024-01-26,"Las consultas a la base de datos de reportes están tardando 10 veces más que ayer.",Alta,Base de Datos,Resuelto,"Estadísticas de tabla desactualizadas. Se ejecutó ANALYZE y VACUUM. Rendimiento normalizado."
TK-024,2024-01-26,"Sospechamos que un empleado está extrayendo datos de clientes sin autorización.",Crítica,Seguridad,Resuelto,"Investigación forense confirmó extracción. Se revocaron accesos, se notificó a legal y se activó protocolo de incidente."
TK-025,2024-01-27,"El módulo de facturación electrónica está rechazando facturas con el nuevo formato SAT.",Alta,Aplicaciones,Resuelto,"Actualización de esquema XML requerida por SAT. Se actualizó módulo a versión 3.4 compatible con nuevo formato."
